[07/06/2018 16:32:24]| kisos@gmail.com ha iniciado sesión
[07/06/2018 16:32:44]| kisos@gmail.com ha cerrado sesión
[07/06/2018 16:34:36]| kisos@gmail.com ha iniciado sesión
[07/06/2018 18:50:53]| kisos@gmail.com ha editado el disco id:2
[07/06/2018 19:05:05]| kisos@gmail.com ha editado el disco id:1
[07/06/2018 19:05:36]| kisos@gmail.com ha editado el disco id:3
[07/06/2018 19:06:38]| kisos@gmail.com ha editado el disco id:4
[07/06/2018 20:04:16]| kisos@gmail.com ha insertado el disco El disquillo
[07/06/2018 20:06:29]| kisos@gmail.com ha insertado el disco JUAN PALOMO
[07/06/2018 20:08:23]| kisos@gmail.com ha insertado el disco OOO
[07/06/2018 20:12:46]| kisos@gmail.com ha insertado el disco OOO
[07/06/2018 20:13:46]| kisos@gmail.com ha insertado el disco ASD
[07/06/2018 20:15:30]| kisos@gmail.com ha insertado el disco ASD
[07/06/2018 20:16:31]| kisos@gmail.com ha insertado el disco ASD
[07/06/2018 20:17:39]| kisos@gmail.com ha insertado el disco ASD
[07/06/2018 20:20:47]| kisos@gmail.com ha insertado el disco ASD
[07/06/2018 20:21:39]| kisos@gmail.com ha eliminado el disco id:56
